amount,duration,payments,min_amount,max_amount,avg_amount,min_balance,max_balance,avg_balance,credit,withdrawal,min_credit_amount,max_credit_amount,avg_credit_amount,min_withdrawal_amount,max_withdrawal_amount,avg_withdrawal_amount,members,last_balance,gender,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,unemploymant rate '96 ,no. of enterpreneurs per 1000 inhabitants ,no. of commited crimes '95 ,no. of commited crimes '96 ,Prague,central Bohemia,east Bohemia,north Bohemia,north Moravia,south Bohemia,south Moravia,west Bohemia,number_of_cards,owner_age,loan_year,loan_month,loan_day,amount_moth,can_pay,status
187224,24,7801,0.2,51900.0,10834.715909090908,-243.3,92571.3,42084.311363636334,38,50,16.8,46293.0,13214.305263157892,0.2,51900.0,9026.227999999997,1,50832.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,47,1995,5,1,59590.93749999999,1,1
87216,48,1817,14.6,15608.0,2960.6979729729724,700.0,43787.3,30847.149324324353,41,107,25.0,15608.0,5670.470731707317,14.6,9900.0,1922.3738317757015,1,26795.3,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,41,1995,5,30,23062.278947368417,1,0
36168,12,3014,14.6,27122.0,6931.622222222222,300.0,63738.0,39063.76666666667,15,21,64.2,27122.0,9289.213333333335,14.6,18500.0,5247.628571428572,1,29138.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,34,1995,9,22,41589.73333333333,1,0
231696,36,6436,30.0,60566.0,10683.372222222222,800.0,108575.3,45873.61666666672,34,92,102.1,60566.0,20382.05588235294,30.0,36000.0,7099.076086956522,2,39874.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,22,1995,10,20,89740.32666666666,1,0
419880,60,6998,39.0,64800.0,24426.472222222223,200.0,104039.9,59352.83333333334,11,7,39.0,62982.0,21108.227272727272,8500.0,64800.0,29640.85714285714,2,24704.4,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,49,1995,10,29,109919.125,1,0
31176,24,1299,14.6,29418.0,9027.317391304348,700.0,65769.6,46304.15217391303,12,11,71.1,29418.0,10761.475,14.6,16900.0,7135.509090909091,1,50647.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,27,1995,11,28,41525.66,1,0
125340,60,2089,30.0,49974.0,9686.67244094488,500.0,110933.4,51145.51574803151,57,70,69.3,49974.0,10958.024561403507,30.0,45200.0,8651.42857142857,1,19007.0,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,51,1995,12,25,82013.82666666665,1,0
247728,48,5161,30.0,57900.0,12112.076,200.0,108390.1,60054.73400000001,23,27,32.1,48620.0,14307.730434782608,30.0,57900.0,10241.703703703704,1,52551.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,16,1996,3,10,86514.82857142856,1,0
320976,48,6687,14.6,70071.0,15093.958,1000.0,130775.0,49482.96800000001,23,27,68.7,70071.0,17416.526086956525,14.6,49700.0,13115.47407407407,1,46462.2,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,59,1996,4,25,107813.98571428572,1,1
20196,36,561,14.6,35469.0,8501.322916666664,200.0,77158.8,52636.598958333314,34,62,57.8,35469.0,12967.817647058824,14.6,24500.0,6051.954838709677,1,65684.6,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,25,1996,7,18,48007.47058823528,1,0
258444,36,7179,141.4,31830.0,8680.756249999999,600.0,61790.4,40688.1375,12,4,141.4,31830.0,8032.675,5200.0,14600.0,10625.0,1,53892.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,30,1996,8,3,23148.68333333333,1,0
71460,36,1985,14.6,33669.0,10132.919354838708,700.0,76403.1,49220.9806451613,16,15,84.1,33669.0,11367.793749999999,14.6,26600.0,8815.720000000001,2,49648.9,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,16,1996,9,9,44874.35714285714,1,0
68832,36,1912,14.6,28353.0,7828.981132075471,700.0,61939.6,37557.05471698113,24,29,28.1,28353.0,9718.266666666668,14.6,24000.0,6265.434482758622,1,51540.7,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,37,1996,9,17,41493.59999999999,1,0
101520,12,8460,14.6,18513.0,5370.042105263158,400.0,43218.7,26449.092105263157,18,20,33.0,18513.0,6132.844444444445,14.6,10000.0,4683.52,1,16720.8,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,19,1996,10,3,29151.657142857144,1,0
77184,36,2144,14.6,63600.0,14561.257142857143,200.0,142917.9,50722.27012987011,36,41,36.3,48447.0,15884.20555555556,14.6,63600.0,13399.64390243902,1,22446.0,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,41,1996,10,4,62289.822222222225,1,0
70656,48,1472,14.6,26080.0,5188.33962264151,600.0,55343.2,32646.850943396235,29,24,37.4,22317.0,5128.586206896552,14.6,26080.0,5260.541666666668,1,22476.1,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,44,1996,10,4,34372.75,1,0
110136,24,4589,14.6,60700.0,11660.536507936504,400.0,140542.8,50815.80476190475,29,34,83.5,45640.0,13368.282758620688,14.6,60700.0,10203.929411764706,1,40746.5,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,38,1996,11,11,40811.87777777776,1,0
228276,36,6341,14.6,22288.0,7186.860000000001,500.0,60236.6,41402.134999999995,13,7,66.5,22288.0,7594.046153846154,14.6,9100.0,6430.657142857142,2,53707.9,0,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,0,0,0,0,0,0,0,0.0,35,1996,11,22,28747.440000000002,1,0
86616,12,7218,29.8,17859.0,5323.546666666666,800.0,48353.1,25714.046666666665,12,3,29.8,17859.0,4879.433333333333,2200.0,11100.0,7100.0,1,37253.1,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,32,1993,12,21,26617.733333333334,1,0
149040,48,3105,14.6,27946.0,6682.029629629629,200.0,62441.6,36845.58888888889,20,34,31.1,27946.0,9496.58,14.6,15900.0,5026.411764705883,1,19033.5,1,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,25,1994,2,7,40092.177777777775,1,0
52128,24,2172,0.1,44473.0,6031.725352112675,144.2,59944.2,33459.68028169013,39,32,38.7,44473.0,6244.838461538461,0.1,27300.0,5771.993750000001,1,58659.8,1,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,34,1994,6,4,53531.56249999999,1,0
111384,24,4641,14.6,61700.0,13525.02368421053,500.0,141386.0,65097.22434210526,55,97,29.0,49388.0,19164.749090909096,14.6,61700.0,10327.2412371134,1,52318.9,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,27,1994,7,5,137053.57333333336,1,0
50460,60,841,14.6,22927.5,6392.972093023257,800.0,51971.4,37570.627906976755,19,24,32.6,22927.5,8327.073684210525,14.6,15000.0,4861.808333333334,1,41531.0,1,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,46,1994,7,16,34362.225000000006,1,0
260028,36,7223,14.6,65008.0,12514.357142857149,200.0,124900.7,50676.81987577646,47,114,150.1,65008.0,22177.26170212766,14.6,51700.0,8530.528070175435,1,69850.9,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,18,1995,10,28,91582.34090909096,1,0
137904,24,5746,29.4,11878.0,6363.316666666666,600.0,43259.7,26886.19166666667,9,3,29.4,11878.0,6195.533333333334,3500.0,9000.0,6866.666666666667,1,35159.7,0,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,0,1,0,0,0,0,0,0,0.0,27,1995,11,28,25453.266666666663,1,1
75624,24,3151,50.5,49887.0,13406.739130434782,400.0,89754.8,50009.90869565218,15,8,50.5,49887.0,11677.0,3200.0,31100.0,16650.0,1,41954.8,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,35,1993,12,23,51392.5,1,1
208128,48,4336,14.6,47493.0,9442.159375,-1069.7,96064.0,36369.97499999999,29,35,30.9,47493.0,11823.668965517241,14.6,36500.0,7468.908571428573,1,81474.6,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,42,1994,7,24,43164.15714285714,1,1
23052,12,1921,14.6,24000.0,3618.326315789472,700.0,54321.8,23771.96608187134,48,123,34.7,20812.0,6742.349999999999,14.6,24000.0,2399.1951219512193,2,28531.7,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,53,1994,9,28,32564.936842105246,1,0
100980,60,1683,14.6,22900.0,5261.0485714285705,600.0,53376.7,35614.74428571429,27,43,75.7,20922.0,7692.799999999999,14.6,22900.0,3734.134883720931,1,47137.7,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,29,1994,12,21,30689.449999999997,1,0
113796,36,3161,100.0,28446.0,6453.251388888889,500.0,58022.1,36840.57361111111,25,47,104.9,28446.0,9973.764000000001,100.0,21074.0,4580.63829787234,2,34054.0,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,24,1995,11,22,42239.46363636363,1,0
56100,60,935,14.6,13986.0,3856.6014705882358,1000.0,45346.1,20158.00147058824,28,40,43.6,13986.0,4958.146428571429,14.6,10700.0,3085.5200000000004,1,15407.2,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,37,1996,2,20,20172.992307692308,1,0
11400,12,950,14.6,10734.0,2434.2441558441565,300.0,39514.1,27533.66363636363,29,48,24.1,10734.0,3711.3310344827587,14.6,6700.0,1662.6708333333333,1,27820.2,1,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,16,1996,7,25,17039.709090909095,1,0
179328,48,3736,14.6,34960.0,8935.784615384613,200.0,81614.7,44093.971153846156,21,31,35.6,34960.0,11922.27619047619,14.6,23040.0,6912.67741935484,1,36074.7,0,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,0,0,0,0,0,0,1,0,0.0,23,1996,11,28,51628.97777777776,1,0
253200,60,4220,30.0,46304.0,11912.358536585367,800.0,104417.9,47302.546341463436,21,20,69.5,46304.0,13560.890476190476,30.0,42600.0,10181.4,1,81150.6,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,43,1994,1,20,61050.8375,1,0
91632,12,7636,14.6,26378.0,6304.1057142857135,700.0,64577.8,40976.942857142836,27,43,54.1,26378.0,8784.244444444443,14.6,18300.0,4746.809302325582,2,33061.9,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,31,1994,3,8,40117.03636363636,1,0
199680,60,3328,14.6,29954.0,7353.527027027026,500.0,62238.8,33658.61756756758,28,46,20.2,29954.0,10072.949999999999,14.6,22637.0,5698.2260869565225,1,19924.0,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,45,1994,12,11,41858.538461538454,1,0
158976,48,3312,14.6,48358.0,8573.476923076925,600.0,130293.2,49916.091025641086,52,104,74.4,48358.0,13041.749999999998,14.6,37300.0,6339.340384615382,1,18879.4,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,56,1995,4,5,83591.40000000002,1,0
27984,12,2332,30.0,47513.0,7289.584210526317,500.0,82352.4,30639.863157894713,30,46,56.9,47513.0,9539.813333333332,30.0,25700.0,5822.04347826087,1,18380.5,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,46,1995,12,11,34625.52500000001,1,0
290700,60,4845,5.1,56400.0,14274.571000000002,-2825.2,129626.3,59647.42399999998,42,58,5.1,49763.0,17131.333333333332,9.9,56400.0,12205.881034482756,1,11574.8,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,36,1996,2,21,118954.75833333335,1,1
133968,48,2791,14.6,60800.0,9939.873417721517,200.0,117458.5,46772.31518987341,23,56,61.0,49512.0,17825.64347826087,14.6,60800.0,6701.074999999999,2,34729.5,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,1.0,53,1996,7,27,98156.24999999999,1,0
141648,24,5902,55.6,42127.0,14106.122222222222,200.0,123310.1,45100.42222222222,13,5,55.6,42127.0,13177.707692307693,1800.0,34600.0,16520.0,2,88710.1,0,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,44,1996,8,22,42318.36666666667,1,0
72120,12,6010,14.6,54092.0,14376.881372549024,1000.0,109338.9,75686.06568627457,40,62,92.7,54092.0,19563.422500000008,14.6,50700.0,11030.72580645161,2,98631.7,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,44,1996,11,19,73322.09500000002,1,0
21072,24,878,48.5,9738.0,3164.473333333334,1100.0,33467.0,21575.68666666666,13,2,48.5,9738.0,3012.853846153846,2600.0,5700.0,4150.0,1,30867.0,1,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,29,1994,1,21,15822.366666666669,1,0
97224,24,4051,14.6,16257.0,3938.214285714286,1000.0,43393.0,22360.53660714285,42,70,51.9,16257.0,5482.852380952382,14.6,11700.0,3011.431428571429,2,19479.6,1,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,43,1995,2,23,25945.882352941175,1,0
85716,36,2381,52.5,21430.0,7206.1578947368425,800.0,52782.7,31337.25789473685,15,4,52.5,21430.0,5781.133333333332,7600.0,15900.0,12550.0,2,36516.9,0,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,0,0,0,0,0,1,0,0,0.0,58,1996,7,14,34229.25,1,0
108144,36,3004,14.6,60600.0,13671.429090909089,900.0,123863.4,54652.89818181817,23,32,35.7,45740.0,16822.826086956524,14.6,60600.0,11406.3625,2,21921.3,1,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,30,1994,1,31,107418.37142857141,1,0
177744,48,3703,3.3,45056.0,6726.888421052629,-2485.5,89733.5,26746.5252631579,36,59,10.0,45056.0,9073.402777777777,3.3,26000.0,5295.1169491525425,1,14230.7,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,22,1995,1,3,39940.89999999999,1,1
148920,60,2482,30.0,22780.0,7832.083870967742,400.0,63289.9,32435.319354838695,16,15,50.5,22338.0,8064.787499999999,30.0,22780.0,7583.866666666667,1,15278.6,0,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,19,1996,8,20,40465.76666666667,1,0
253512,36,7042,13.4,40419.0,11379.258620689658,300.0,111044.2,37095.84482758619,14,15,13.4,40419.0,12261.32142857143,30.0,30200.0,10556.0,1,13318.4,1,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,0,0,0,0,0,0,1,0,0.0,51,1996,8,28,54999.75000000001,1,1
78936,12,6578,14.6,11416.0,3259.0000000000005,900.0,40560.3,25900.319607843132,24,27,24.0,11416.0,3975.208333333334,14.6,6300.0,2622.3703703703704,1,24601.0,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,37,1994,2,6,20776.125000000004,1,0
63312,48,1319,14.6,10500.0,2011.2317073170734,500.0,31462.9,22551.77926829271,35,47,26.5,10500.0,2763.92,14.6,4600.0,1450.7191489361699,1,28553.5,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,38,1994,5,26,13743.41666666667,1,0
208320,48,4340,30.0,39060.0,9434.437647058825,200.0,82981.9,43944.88941176475,33,52,79.0,39060.0,12819.854545454547,30.0,29700.0,7286.0,2,44183.1,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,26,1994,6,1,53461.81333333334,1,0
224604,36,6239,14.6,56152.0,14537.80322580645,200.0,109178.4,57496.98924731188,34,59,32.7,56152.0,20475.04411764706,14.6,40000.0,11116.342372881352,2,40287.4,0,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,18,1994,8,25,84500.98125,1,0
164052,36,4557,0.4,48181.0,11809.263076923078,-2564.7,112045.6,41752.16153846152,28,37,53.7,48181.0,14078.810714285715,0.4,41400.0,10091.767567567567,1,20811.2,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,19,1994,11,19,69782.0090909091,1,1
115992,36,3222,5.4,60600.0,6214.3740157480315,200.0,107692.0,25666.40708661417,46,81,5.4,46194.0,8683.641304347828,30.0,60600.0,4812.074074074074,1,9669.5,0,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,57,1994,12,21,41538.18421052631,1,0
92976,24,3874,30.0,48996.0,12039.466972477063,300.0,122342.1,50436.466055045865,50,59,66.1,48996.0,13338.337999999998,30.0,45500.0,10938.728813559323,2,21531.8,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,25,1995,12,12,72905.66111111111,1,0
104712,24,4363,30.0,48996.0,12019.660185185186,300.0,119752.3,52379.12870370369,50,58,66.1,48996.0,13282.386,30.0,44800.0,10931.103448275862,2,30115.3,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,25,1995,12,12,72117.96111111112,1,0
72408,24,3017,96.5,49634.0,13997.223076923077,700.0,83619.5,45099.26153846154,9,4,96.5,49634.0,12129.322222222221,8700.0,32700.0,18200.0,1,36363.9,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,37,1996,2,12,60654.63333333333,1,1
202788,36,5633,30.0,72298.0,16141.211392405066,1100.0,139880.9,57124.26835443034,26,53,51.3,72298.0,26091.91153846154,30.0,45200.0,11259.735849056604,1,81623.6,1,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,42,1996,3,13,106262.97500000002,1,0
61560,12,5130,30.0,46166.0,9739.39718309859,200.0,73559.9,32967.71267605635,22,49,79.1,46166.0,16171.554545454546,30.0,30200.0,6851.489795918367,1,20051.1,0,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,0,0,0,0,0,0,0,1,0.0,53,1996,11,28,69149.72,1,0
300660,60,5011,14.6,48900.0,10342.530303030304,800.0,135175.2,45854.89090909087,24,42,39.4,44519.0,14927.625,14.6,48900.0,7722.476190476191,1,33918.9,0,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,0,0,0,1,0,0,0,0,0.0,44,1994,2,27,75845.22222222222,1,0
48624,24,2026,14.6,52900.0,12180.788034188035,200.0,134187.4,63857.2367521368,49,68,21.1,41561.0,15032.102040816324,14.6,52900.0,10126.164705882351,1,47993.6,0,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,0,0,0,1,0,0,0,0,0.0,33,1995,1,8,83832.48235294118,1,0
186384,48,3883,30.0,60600.0,11952.684210526313,700.0,129557.3,61578.30157894749,82,108,67.1,49424.0,13975.695121951228,30.0,60600.0,10416.694444444445,1,20960.7,0,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,0,0,0,1,0,0,0,0,0.0,37,1996,6,8,113550.49999999997,1,0
88440,12,7370,100.0,47976.0,14850.767741935484,200.0,103239.0,62778.09032258065,16,15,116.9,47976.0,16852.55,100.0,35100.0,12715.533333333333,2,78907.6,1,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,0,0,0,1,0,0,0,0,0.0,51,1996,11,6,92074.76,1,0
182628,36,5073,67.1,23204.0,8281.607692307693,500.0,52246.0,33229.1076923077,10,3,67.1,23204.0,7666.089999999999,8600.0,12600.0,10333.333333333334,1,45660.9,0,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,0,0,0,0,1,0,0,0,0.0,34,1994,3,1,26915.225,1,0
51696,24,2154,14.6,59600.0,13901.269607843138,600.0,124339.4,58226.50490196077,44,58,119.6,46889.0,16546.952272727274,14.6,59600.0,11894.199999999997,1,38202.2,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,1.0,26,1994,3,11,118160.79166666667,1,0
230220,36,6395,4.9,59800.0,7188.8524390243865,-2719.7,130801.0,27658.487804878067,38,44,4.9,47953.0,7839.626315789475,6.8,59800.0,6626.820454545454,1,6325.5,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,51,1994,9,29,58948.58999999997,1,1
59760,24,2490,14.6,34557.0,8295.155555555553,300.0,69643.1,40204.4648148148,22,32,19.5,34557.0,11115.263636363636,14.6,21440.0,6356.331250000001,2,41133.1,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,35,1994,11,4,44793.83999999999,1,0
140400,36,3900,14.6,63200.0,10991.504444444443,400.0,115000.2,43563.61999999999,22,23,100.9,44739.0,11883.85,14.6,63200.0,10137.956521739132,1,28271.8,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,53,1994,11,6,41218.141666666656,1,0
398640,60,6644,30.0,59793.0,16552.96279069768,400.0,121689.5,63383.57558139535,34,52,32.1,59793.0,21806.935294117644,30.0,48100.0,13117.673076923076,1,59316.9,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,34,1994,12,20,88972.17500000002,1,0
221280,48,4610,30.0,50178.0,11891.501408450704,1100.0,106144.8,37596.93239436623,25,46,69.5,50178.0,17512.224,30.0,32300.0,8836.760869565218,2,31314.7,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,26,1995,2,8,70358.05,1,0
151728,48,3161,0.8,48906.0,8289.664912280701,-669.7,82784.6,30491.098245614015,28,29,9.8,48906.0,8910.703571428572,0.8,27000.0,7690.041379310345,1,26488.7,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,18,1995,2,11,59063.862499999996,1,1
104712,24,4363,14.6,56400.0,11980.312565445032,400.0,147603.2,57357.84345549748,72,119,83.9,49831.0,16041.951388888885,14.6,56400.0,9522.850420168068,1,21801.2,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,50,1995,4,11,104010.8954545455,1,0
194880,48,4060,14.6,36536.0,8187.945132743361,300.0,71138.8,36421.42566371683,37,76,108.1,36536.0,12922.227027027027,14.6,23532.0,5883.09736842105,1,31007.0,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,15,1995,12,5,54425.75294117646,1,0
232560,48,4845,100.0,39741.0,13066.725925925924,600.0,102665.9,63188.63333333334,14,13,107.8,39741.0,14073.042857142855,100.0,37300.0,11983.0,1,41243.5,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,25,1995,12,16,70560.31999999999,1,0
380160,60,6336,14.6,62500.0,15887.993577981657,1100.0,147375.1,64777.07522935782,47,62,88.4,48887.0,18684.478723404252,14.6,62500.0,13768.077419354833,1,24549.6,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,46,1996,2,29,96210.6277777778,1,0
55368,24,2307,14.6,48139.0,8702.475510204076,200.0,113350.7,46061.31938775505,47,51,27.2,48139.0,9204.863829787235,14.6,34100.0,8239.490196078432,1,12414.4,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,54,1994,3,15,77531.1454545454,1,0
227880,36,6330,14.6,64600.0,8156.793975903611,1100.0,153213.7,45134.72168674696,45,38,24.3,49115.0,8119.22888888889,14.6,64600.0,8201.27894736842,2,53716.6,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,38,1994,10,12,56417.824999999975,1,0
47304,24,1971,14.6,59900.0,13867.846706586832,400.0,148093.0,68740.02335329348,76,91,38.3,49060.0,15647.294736842105,14.6,59900.0,12381.714285714283,1,62458.3,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,23,1995,4,10,144745.65000000005,1,0
33984,48,708,14.6,20196.0,4598.144285714286,600.0,55077.5,38587.76000000001,36,34,18.2,20196.0,5087.997222222222,14.6,14700.0,4079.4764705882358,1,44465.4,0,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,23,1995,8,26,29260.91818181818,1,0
188688,48,3931,14.6,35378.0,10873.772727272726,400.0,71255.7,42203.17272727273,12,10,70.0,35378.0,10950.116666666667,14.6,24500.0,10782.16,1,23579.7,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,30,1995,9,9,47844.59999999999,1,0
360000,48,7500,0.3,73228.0,14897.402205882352,600.0,126072.0,51149.65514705883,57,79,94.6,73228.0,18340.45789473684,0.3,59500.0,12413.172151898736,1,64765.2,1,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,0,0,0,0,0,0,1,0,0.0,23,1996,6,13,112558.15,1,0
