"att1","loan_id","amount","duration","payments","min_amount","max_amount","avg_amount","min_balance","max_balance","avg_balance","credit","withdrawal","members","last_balance","gender","no. of inhabitants","no. of municipalities with inhabitants < 499 ","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants 2000-9999 ","no. of municipalities with inhabitants >10000 ","no. of cities ","ratio of urban inhabitants ","average salary ","unemploymant rate '95 ","unemploymant rate '96 ","no. of enterpreneurs per 1000 inhabitants ","no. of commited crimes '95 ","no. of commited crimes '96 ","Prague","central Bohemia","east Bohemia","north Bohemia","north Moravia","south Bohemia","south Moravia","west Bohemia","number_of_cards","owner_age","loan_year","loan_month","loan_day","confidence(false)","confidence(true)","prediction(status)"
90,6255,247920,48,5165,25.5,16100.0,3079.3333333333335,200.0,31595.5,23594.146666666664,10,5,1,23990.1,1,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,0,0,0,0,1,0,0,0,0.0,39,1997,2,8,0.5868949832236968,0.41310501677630285,"false"
91,6660,220428,36,6123,14.6,69012.0,23042.385,600.0,105524.2,60165.795,11,9,1,48488.5,0,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,0,0,0,0,1,0,0,0,0.0,34,1997,5,9,0.24390401863243624,0.7560959813675635,"true"
92,5991,335184,48,6983,5.4,62850.0,13247.83181818182,-6652.7,100570.6,38710.01136363636,38,50,1,16401.1,1,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,0,0,0,0,1,0,0,0,0.0,20,1998,7,27,0.7274121692127034,0.272587830787297,"false"
93,5656,146064,24,6086,14.6,44258.0,11676.268181818183,200.0,90387.4,44355.04090909091,12,10,1,45020.6,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,43,1997,2,9,0.46679987280620383,0.5332001271937963,"true"
94,6322,76992,24,3208,14.6,44561.0,14823.30571428571,900.0,112175.5,61992.29999999999,18,17,1,52478.9,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,31,1997,5,6,0.1960647005134827,0.8039352994865169,"true"
95,6877,285240,60,4754,14.6,42783.0,9580.140740740739,1100.0,89240.1,49699.66481481486,26,28,2,59862.7,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,45,1997,6,19,0.17966044005392914,0.8203395599460701,"true"
96,4986,102876,12,8573,3.0,26892.0,4844.029661016947,900.0,60334.7,33057.37457627117,33,85,2,40516.3,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,55,1997,8,10,0.2565918377367709,0.743408162263229,"true"
97,5638,68124,12,5677,14.6,30993.0,8767.472549019607,1100.0,63669.3,28809.00000000002,21,30,1,16430.9,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,39,1997,8,27,0.5380438308390622,0.4619561691609376,"false"
98,5206,128544,24,5356,37.7,59100.0,7808.701666666665,200.0,131453.2,40526.45499999998,21,39,1,31082.1,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,45,1997,9,7,0.43859027531533,0.5614097246846701,"true"
99,5369,214596,36,5961,25.8,73970.0,26971.417647058825,400.0,112408.8,62852.91764705883,10,7,2,86514.1,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,60,1997,9,12,0.19547994273000438,0.8045200572699954,"true"
100,5643,94512,12,7876,14.6,78900.0,16710.555970149257,600.0,133407.7,48061.85671641792,63,71,1,23811.1,0,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,44,1997,9,21,0.2845950496093878,0.7154049503906119,"true"
101,5862,100128,24,4172,14.6,63800.0,9714.087769784175,700.0,120586.5,56496.39136690648,51,88,1,55023.7,1,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,0,0,0,0,1,0,0,0,0.0,49,1997,12,9,0.19932410661585806,0.8006758933841415,"true"
102,6934,116832,12,9736,14.6,17136.0,5315.328260869566,400.0,40761.2,23391.68913043479,23,23,2,20739.0,1,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,0,0,0,0,0,1,0,0,0.0,48,1997,2,9,0.32503903541986856,0.6749609645801312,"true"
103,7119,86880,12,7240,14.6,65160.0,16724.925862068965,500.0,106368.8,56531.81724137928,23,35,1,34575.3,1,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,0,0,0,0,0,1,0,0,1.0,57,1997,6,2,0.2930292060951747,0.7069707939048251,"true"
104,5124,156096,36,4336,30.0,39022.0,9528.360606060607,700.0,93801.3,51641.8333333333,14,19,1,28471.9,0,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,0,0,0,0,0,1,0,0,0.0,45,1998,2,12,0.38898894446411175,0.6110110555358879,"true"
105,4989,352704,48,7348,14.6,49101.0,8582.460714285711,800.0,74693.6,30797.4875,29,27,1,30175.3,1,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,0,0,0,0,0,1,0,0,1.0,47,1998,12,5,0.45232871560222976,0.5476712843977705,"true"
106,6028,317520,60,5292,14.6,35938.0,6783.863013698629,1100.0,82886.2,56757.30958904106,21,52,1,38678.7,1,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,28,1997,2,9,0.2461501640836671,0.7538498359163324,"true"
107,5486,466608,48,9721,14.6,23832.0,6543.769607843136,300.0,66125.9,36161.021568627446,42,60,1,60775.8,1,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,51,1997,6,13,0.3814907577981855,0.6185092422018146,"true"
108,5338,57360,12,4780,2.3,43260.0,8336.574666666666,-5851.2,78725.3,36887.155999999966,29,46,1,15016.3,0,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,39,1997,8,30,0.7739182889936835,0.22608171100631694,"false"
109,6239,360864,48,7518,30.0,64000.0,14112.969767441858,500.0,135384.0,52871.42441860467,41,45,1,27383.2,1,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,19,1997,9,28,0.3611660469195356,0.6388339530804644,"true"
110,5287,64224,24,2676,30.0,43958.0,8091.161702127661,900.0,92048.9,45735.838297872346,25,22,2,23652.7,0,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,60,1998,1,26,0.3330300861708832,0.6669699138291164,"true"
111,6320,104964,12,8747,14.6,27722.0,6717.295967741933,500.0,67027.5,41026.33145161289,46,78,1,32793.3,0,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,31,1998,4,28,0.30001260938212926,0.6999873906178706,"true"
112,5815,151200,36,4200,14.6,48480.0,17701.1625,1000.0,110723.2,66345.68250000002,22,18,1,59126.9,0,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,51,1998,6,3,0.18862203697199983,0.8113779630280001,"true"
113,5154,108720,60,1812,14.6,48400.0,9952.196874999996,1000.0,112610.8,50883.19687500003,34,30,1,41338.5,1,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,0,1,0,0,0,0,0,0,0.0,31,1998,7,1,0.23212949702616814,0.7678705029738315,"true"
114,6490,73260,60,1221,5.9,25654.5,8085.104761904762,900.0,58294.8,33927.08571428571,12,9,1,28038.0,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,56,1997,2,10,0.31204753826487347,0.6879524617351266,"true"
115,5942,162624,48,3388,14.6,30492.0,6360.308955223879,16399.9,73289.5,37092.94552238806,43,91,1,39415.4,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,39,1997,3,15,0.2859957233465426,0.714004276653457,"true"
116,7085,305424,48,6363,14.6,58900.0,9989.966265060239,300.0,120227.9,46147.521686747015,30,53,1,9680.4,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,33,1997,6,19,0.5253411417999252,0.47465885820007475,"false"
117,6959,59448,24,2477,0.2,48601.0,10629.011666666665,-5525.0,119012.4,45016.6908333333,55,65,1,54909.1,0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,44,1997,6,30,0.560412377463321,0.4395876225366791,"false"
118,5086,210384,48,4383,14.6,48984.0,7825.452542372881,300.0,121135.2,45912.39999999999,29,30,1,46478.3,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,41,1997,7,16,0.3707118279153992,0.6292881720846005,"true"
119,6758,33144,12,2762,2.6,34880.0,5645.506249999999,900.0,61770.9,32407.646875,20,12,2,31693.2,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,17,1997,7,29,0.21636515944466464,0.783634840555335,"true"
120,5377,92400,12,7700,14.6,55600.0,9193.24519230769,1000.0,131664.2,42291.18557692309,39,65,1,46489.0,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,1.0,23,1997,8,4,0.2647662854774657,0.735233714522534,"true"
121,6612,97392,12,8116,7.9,48700.0,9153.706172839502,200.0,127421.2,36685.09135802469,35,46,2,20146.2,0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,37,1997,8,31,0.29113843423505226,0.7088615657649476,"true"
122,5447,541200,60,9020,1.1,20988.0,3555.9178160919523,-17030.4,51160.5,12006.396551724149,57,117,1,6360.9,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,50,1997,11,12,0.5666976227594255,0.4333023772405743,"false"
123,6727,42840,12,3570,14.6,22908.0,5868.537777777779,1100.0,57767.4,35642.19777777778,27,18,1,57767.4,0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,60,1997,12,10,0.28286533125362706,0.7171346687463727,"true"
124,7147,267600,48,5575,24.8,61500.0,13043.204464285713,200.0,137673.6,62460.226785714294,57,55,1,11562.7,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,39,1998,1,2,0.36604349804913194,0.6339565019508681,"true"
125,5158,188532,36,5237,14.6,62100.0,15490.919594594601,200.0,143846.4,64193.40472972981,61,87,1,22144.8,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,22,1998,4,11,0.22125169235536504,0.7787483076446349,"true"
126,5147,22260,60,371,46.5,12600.0,3258.5066666666667,700.0,31277.6,23066.613333333335,13,2,1,31277.6,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,57,1998,5,21,0.3722179464684056,0.6277820535315944,"true"
127,5015,109344,12,9112,14.6,28588.0,7501.674193548384,1000.0,80433.2,48376.2580645161,43,50,1,66657.0,1,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,1.0,53,1998,7,12,0.24173667659082676,0.7582633234091729,"true"
128,5346,55632,24,2318,14.6,23522.0,6040.260526315788,500.0,52896.1,29645.32017543858,50,64,1,38449.2,0,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,0,0,0,0,1,0,0,0,0.0,49,1998,12,6,0.32606690071855465,0.6739330992814454,"true"
129,6415,475680,48,9910,64.3,34100.0,13358.783333333335,700.0,70405.3,40812.49166666667,8,4,2,46505.3,1,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,30,1997,2,12,0.3214526767033429,0.6785473232966572,"true"
130,4990,162576,36,4516,14.6,35157.0,7240.840476190475,900.0,79652.2,46148.29761904761,28,56,1,55539.8,0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,44,1997,9,8,0.27201088574062066,0.7279891142593794,"true"
131,6641,128268,36,3563,14.6,35914.0,12119.611111111113,700.0,75427.0,47029.53888888889,12,6,1,48323.8,0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,54,1997,9,9,0.28851822030720503,0.7114817796927948,"true"
132,7187,24180,60,403,14.6,33066.0,5555.0895522388055,1100.0,97336.5,78724.20970149254,35,99,1,89121.5,0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,59,1997,12,24,0.234083630257566,0.7659163697424336,"true"
133,5799,106128,36,2948,16.2,50700.0,8468.101923076923,900.0,76251.4,36071.94230769232,24,28,1,51095.2,0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,19,1997,12,28,0.24846253645184463,0.7515374635481549,"true"
134,7110,31260,12,2605,14.6,15171.0,3881.6541984732803,1000.0,46698.9,25084.423664122114,51,80,2,13932.4,0,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,29,1998,1,21,0.2704120909513127,0.7295879090486873,"true"
135,5313,43200,24,1800,14.6,20504.0,4853.061111111112,400.0,62263.4,36159.70555555556,21,33,1,37619.2,1,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,0,0,0,1,0,0,0,0,0.0,49,1998,5,27,0.2441736214494949,0.7558263785505044,"true"
136,7087,44304,24,1846,14.6,21466.0,4556.826984126984,300.0,58281.2,42830.99523809525,21,42,1,46446.1,0,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,0,0,0,1,0,0,0,0,0.0,30,1997,2,20,0.2149250584225725,0.7850749415774266,"true"
137,5616,130896,24,5454,14.6,12000.0,3674.4132743362825,300.0,49093.0,31685.099115044246,53,60,2,43648.0,1,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,0,0,0,1,0,0,0,0,0.0,43,1998,5,15,0.2420149085254545,0.7579850914745453,"true"
138,6357,64860,60,1081,14.0,20107.5,3912.8401515151504,200.0,67060.0,44890.033333333275,39,93,1,54222.1,1,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,0,0,0,1,0,0,0,0,0.0,18,1998,7,12,0.2062545823718717,0.7937454176281278,"true"
139,5865,327660,60,5461,14.6,48563.0,11424.458730158734,1000.0,112775.8,49281.73888888889,50,76,1,59536.5,1,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,0,0,0,1,0,0,0,0,0.0,56,1998,10,30,0.25971483655897765,0.7402851634410222,"true"
140,5027,160920,36,4470,14.6,40234.0,11120.55254237288,700.0,74906.0,51649.39830508475,25,34,1,48325.0,0,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,0,0,0,1,0,0,0,0,1.0,27,1998,12,2,0.22148458008515515,0.7785154199148444,"true"
141,5420,72504,24,3021,14.6,62200.0,7488.999999999997,600.0,145620.3,45374.64242424243,26,73,1,17104.4,1,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,46,1997,2,24,0.45626333503137145,0.5437366649686288,"true"
142,6235,321360,60,5356,14.6,56068.0,11343.968571428573,700.0,116394.1,52905.407142857155,43,97,1,51923.7,0,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,0,0,0,0,0,0,0,1,0.0,23,1998,4,19,0.2538307107913145,0.746169289208685,"true"
143,5977,59136,48,1232,14.6,6620.0,2346.759090909091,6620.0,32572.8,23023.659090909096,23,21,1,22740.4,1,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,0,0,0,0,0,0,0,1,0.0,17,1997,2,25,0.20563506645019353,0.7943649335498064,"true"
144,6851,272220,60,4537,0.4,44581.0,7270.019047619044,-625.1,93792.7,36907.373015872996,31,32,1,1580.3,1,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,0,0,0,0,0,0,0,1,0.0,50,1997,6,3,0.740097378015598,0.2599026219844021,"false"
145,5531,66432,24,2768,14.6,33032.0,8355.363551401868,700.0,69031.9,33039.892523364455,39,68,2,17745.1,1,170449,0,0,0,1,1,100.0,10787,2.64,3.09,131,6041,6261,0,0,0,0,0,0,0,1,0.0,26,1997,9,30,0.2830732812239569,0.7169267187760429,"true"
146,6824,71976,24,2999,1.9,49067.0,10085.172932330826,-8245.1,139580.2,39870.41127819543,60,73,1,85375.5,0,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,0,0,1,0,0,0,0,0,0.0,31,1997,2,26,0.6327469164512625,0.3672530835487377,"false"
147,6386,124344,36,3454,14.6,63000.0,6250.356756756754,321.0,103753.3,25654.378378378373,46,102,1,66449.9,1,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,0,0,1,0,0,0,0,0,0.0,17,1997,4,30,0.2607814328647165,0.739218567135283,"true"
148,5207,35904,48,748,14.6,7842.0,1997.5101694915259,900.0,34278.5,22981.055932203395,24,35,1,17662.3,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,51,1997,2,28,0.2622187450052361,0.7377812549947634,"true"
149,6887,39576,12,3298,14.6,29685.0,6148.310666666665,700.0,64870.4,30719.74666666664,35,40,2,22638.7,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,32,1997,5,8,0.3097251593688028,0.6902748406311975,"true"
150,5051,230400,60,3840,2.0,59900.0,12591.524404761909,20574.0,145352.1,79500.53809523811,53,115,1,49277.3,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,36,1997,10,11,0.2443225335659337,0.7556774664340662,"true"
151,6502,30276,12,2523,14.6,62900.0,12133.594512195128,900.0,116439.0,61588.33719512191,51,113,1,27846.6,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,35,1997,12,8,0.1926288732475792,0.8073711267524202,"true"
152,4962,30276,12,2523,14.6,62900.0,12113.931097560979,900.0,119652.7,62991.2646341463,51,113,1,31621.9,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,35,1997,12,8,0.19369719347257772,0.8063028065274217,"true"
153,6552,170448,48,3551,14.6,33225.0,8292.202352941174,1000.0,73025.1,39297.33529411767,32,53,2,41656.1,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,54,1998,1,8,0.22143503180686233,0.7785649681931371,"true"
154,6044,57060,12,4755,30.0,48032.0,9409.703488372092,900.0,103606.4,46000.645348837184,30,56,1,76442.4,0,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,54,1998,1,27,0.3011449519688257,0.6988550480311737,"true"
155,5906,81144,36,2254,14.6,62500.0,18149.90196078431,200.0,127543.0,67815.17450980397,26,25,1,65800.3,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,53,1998,5,5,0.1853884713508527,0.8146115286491467,"true"
156,5561,437460,60,7291,14.6,65622.0,17617.005660377356,900.0,101929.2,48935.43584905662,20,33,1,34015.2,1,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,0,0,0,0,1,0,0,0,0.0,45,1998,8,29,0.28380028893588377,0.7161997110641163,"true"
157,7115,88704,48,1848,14.6,11800.0,2751.4259541984734,800.0,32019.4,18675.060305343522,55,76,2,13431.1,1,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,0,0,0,0,0,0,0,1,0.0,36,1997,3,4,0.2837023243636077,0.7162976756363918,"true"
158,6605,79344,48,1653,12.3,9686.0,2747.930476190476,300.0,39445.1,23918.4942857143,47,58,1,30004.1,1,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,0,0,0,0,0,0,0,1,0.0,46,1997,10,14,0.29825444620667957,0.7017455537933199,"true"
159,7250,119136,48,2482,14.6,45673.0,6722.079831932768,1100.0,97010.1,42572.41008403363,44,75,1,45706.4,1,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,0,0,0,1,0,0,0,0,0.0,33,1997,3,4,0.24973031826583436,0.7502696817341653,"true"
160,6875,83280,48,1735,14.6,23547.0,4958.80143884892,700.0,69424.9,39962.46618705042,63,76,1,41045.9,1,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,0,0,0,1,0,0,0,0,0.0,55,1997,3,13,0.22886300103313842,0.771136998966861,"true"
161,5773,133848,24,5577,12.3,49800.0,9549.21696428571,600.0,133750.5,42220.02946428575,44,68,1,9985.9,1,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,0,0,0,1,0,0,0,0,0.0,37,1998,3,16,0.6265320247356542,0.37346797526434566,"false"
162,5365,271260,60,4521,14.6,15400.0,4752.2863013698625,700.0,36763.1,14873.37808219177,33,40,1,11584.9,0,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,0,0,0,1,0,0,0,0,0.0,27,1998,7,19,0.526393439732575,0.4736065602674248,"false"
163,6010,150180,60,2503,73.0,36791.0,14390.512499999999,200.0,92464.9,50892.0,12,4,1,79230.1,0,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,0,0,0,0,0,0,1,0,0.0,59,1997,3,6,0.32384959440672406,0.676150405593276,"true"
164,6399,49320,36,1370,14.6,15567.0,3852.4654320987656,900.0,49729.2,35987.26296296296,29,52,1,26686.8,0,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,0,0,0,0,0,0,1,0,0.0,31,1997,12,21,0.2248249067337848,0.7751750932662153,"true"
165,6748,240900,60,4015,14.6,25394.0,5047.0625,700.0,59731.2,26268.189999999984,54,66,1,19813.8,1,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,0,0,0,0,0,0,1,0,0.0,49,1998,12,8,0.4319933182984733,0.5680066817015268,"true"
166,6088,90180,36,2505,34.4,22544.0,8520.461538461539,200.0,51813.7,31516.346153846152,10,3,1,36566.0,0,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,0,0,0,0,0,0,0,1,0.0,36,1997,3,7,0.3573845541371345,0.6426154458628658,"true"
167,7255,213300,60,3555,14.6,36368.0,12757.631818181819,800.0,64468.6,37524.88636363635,13,9,1,37716.7,1,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,0,0,0,0,0,0,0,1,0.0,42,1997,6,9,0.239178325866045,0.7608216741339547,"true"
168,6861,215040,60,3584,14.6,32253.0,6970.0634146341445,1000.0,74896.6,37189.77195121955,38,44,1,38003.2,1,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,0,0,0,0,0,0,0,1,0.0,37,1998,2,28,0.21306677148138017,0.7869332285186189,"true"
169,5318,385584,48,8033,14.6,61900.0,12108.597435897436,400.0,118267.7,69656.36923076924,36,42,2,18109.0,0,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,0,0,0,0,0,0,0,1,0.0,23,1998,9,30,0.2930509804807676,0.7069490195192318,"true"
170,5682,67464,12,5622,14.6,50602.0,14432.868421052632,600.0,92407.6,46016.19824561402,24,33,1,59310.8,0,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,0.0,61,1997,3,7,0.3116498930448969,0.688350106955103,"true"
171,7201,67464,12,5622,14.6,50602.0,14344.908771929824,600.0,92407.6,48557.38070175437,24,33,1,64497.2,0,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,0.0,61,1997,3,7,0.3051222280367899,0.6948777719632099,"true"
172,6254,247920,48,5165,14.6,63800.0,11110.320481927709,1000.0,110892.1,54799.856626506,36,47,1,20059.8,1,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,1.0,55,1997,12,28,0.3021769249803983,0.6978230750196015,"true"
173,7072,22104,12,1842,14.6,20262.0,4537.708219178082,700.0,61159.2,44135.94383561647,25,48,1,39312.2,1,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,0.0,32,1998,1,27,0.2106950888410774,0.7893049111589221,"true"
174,6312,10944,36,304,10.9,10400.0,1566.8575757575761,300.0,34557.9,22935.072121212113,57,108,1,29034.9,0,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,0.0,46,1998,5,17,0.1960646446985142,0.8039353553014853,"true"
175,5241,125472,24,5228,14.6,60900.0,10944.51237113402,800.0,117375.0,48989.18247422685,39,58,1,17273.4,0,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,0,0,0,1,0,0,0,0,0.0,57,1998,9,2,0.41367608013667695,0.5863239198633229,"true"
176,5953,97176,24,4049,19.6,68788.0,25922.218750000004,400.0,106189.2,66376.84999999999,10,6,1,91941.4,1,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,0,1,0,0,0,0,0,0,0.0,42,1997,3,14,0.23125415099011928,0.7687458490098799,"true"
177,5072,196800,24,8200,14.6,73802.0,26260.66956521739,300.0,113888.0,58669.5043478261,12,11,1,38166.1,1,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,0,1,0,0,0,0,0,0,0.0,36,1997,4,28,0.24643205634053056,0.7535679436594692,"true"
178,6970,31620,60,527,14.6,20433.0,6230.262162162163,500.0,45836.3,27522.88378378377,17,20,1,25880.0,0,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,0,1,0,0,0,0,0,0,0.0,57,1997,6,17,0.2683659718439013,0.7316340281560983,"true"
179,5774,96984,36,2694,10.6,24243.0,6375.06909090909,800.0,50063.3,21298.780000000002,21,34,1,13446.7,0,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,0,1,0,0,0,0,0,0,0.0,26,1998,7,12,0.6056819369927641,0.3943180630072358,"false"
180,5382,22932,36,637,14.6,18980.0,4503.651219512195,300.0,56308.4,42536.88536585367,17,24,1,46090.1,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,43,1997,3,17,0.18986738556967428,0.810132614430325,"true"
181,5469,293160,60,4886,14.6,64500.0,12127.338144329897,800.0,131276.2,49740.62371134018,42,55,1,14840.8,1,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,0,0,1,0,0,0,0,0,0.0,19,1997,12,26,0.33291276112802576,0.6670872388719742,"true"
